Demographic information
97 Mcduffie,157,.33%,95.73%,7,.19%,4.27%,164  .32%
98 Mcintosh,62,.13%,95.38%,3,.08%,4.62%,65  .13%
99 Meriwether,192,.40%,91.43%,18,.49%,8.57%,210  .41%
100 Miller,31,.06%,83.78%,6,.16%,16.22%,37  .07%
101 Mitchell,192,.40%,93.20%,14,.38%,6.80%,206  .40%
102 Monroe,109,.23%,96.46%,4,.11%,3.54%,113  .22%
103 Montgomery,54,.11%,91.53%,5,.14%,8.47%,59  .11%
104 Morgan,98,.20%,90.74%,10,.27%,9.26%,108  .21%
105 Murray,175,.37%,87.94%,24,.65%,12.06%,199  .39%
106 Muscogee,"1,621",3.39%,93.75%,108,2.93%,6.25%,"1,729  3.35%"
107 Newton,555,1.16%,89.66%,64,1.74%,10.34%,619  1.20%
108 Oconee,40,.08%,88.89%,5,.14%,11.11%,45  .09%
109 Oglethorpe,44,.09%,91.67%,4,.11%,8.33%,48  .09%
110 Paulding,281,.59%,87.27%,40,1.09%,12.42%,322  .62%
111 Peach,128,.27%,96.24%,5,.14%,3.76%,133  .26%
112 Pickens,109,.23%,90.08%,12,.33%,9.92%,121  .23%
113 Pierce,71,.15%,92.21%,6,.16%,7.79%,77  .15%
114 Pike,55,.11%,90.16%,6,.16%,9.84%,61  .12%
"",,Male,,,Female,,Total
Home County,Count,Col %,Row %,Count,Col %,Row %,Total Col %
115 Polk,213,.45%,88.02%,29,.79%,11.98%,242  .47%
116 Pulaski,85,.18%,88.54%,11,.30%,11.46%,96  .19%
117 Putnam,128,.27%,94.81%,7,.19%,5.19%,135  .26%
118 Quitman,16,.03%,88.89%,2,.05%,11.11%,18  .03%
119 Rabun,51,.11%,82.26%,11,.30%,17.74%,62  .12%
120 Randolph,59,.12%,95.16%,3,.08%,4.84%,62  .12%
121 Richmond,"1,712",3.58%,94.74%,95,2.58%,5.26%,"1,807  3.51%"
122 Rockdale,339,.71%,90.40%,35,.95%,9.33%,375  .73%
123 Schley,27,.06%,100.00%,,,,27  .05%
124 Screven,99,.21%,89.19%,12,.33%,10.81%,111  .22%
125 Seminole,62,.13%,88.57%,8,.22%,11.43%,70  .14%
126 Spalding,533,1.11%,91.58%,49,1.33%,8.42%,582  1.13%
127 Stephens,159,.33%,90.34%,17,.46%,9.66%,176  .34%
128 Stewart,34,.07%,94.44%,2,.05%,5.56%,36  .07%
129 Sumter,244,.51%,97.21%,7,.19%,2.79%,251  .49%
