report,teens_male_pop,teens_female_pop,teens_pop,twenties_male_pop,twenties_female_pop,twenties_pop,thirties_male_pop,thirties_female_pop,thirties_pop,forties_male_pop,forties_female_pop,forties_pop,fifties_male_pop,fifties_female_pop,fifties_pop,sixties_male_pop,sixties_female_pop,sixties_pop,70_plus_male_pop,70_plus_female_pop,70_plus_pop,current_age_reported_male,current_age_reported_female,current_age_reported,current_age_not_reported_male,current_age_not_reported_female,current_age_not_reported,total_male_pop,total_female_pop,total_pop,50_plus_yoa,50_plus_yoa_p
2014-01,796,39,835,15333,967,16300,14580,1186,15766,10495,882,11377,6485,382,6867,1853,80,1933,557,14,571,50099,3550,53649,0,0,0,50099,3550,53649,9371,17.47%
2014-02,774,36,810,15066,963,16029,14440,1157,15597,10431,865,11296,6450,375,6825,1844,79,1923,562,15,577,49567,3490,53057,0,0,0,49567,3490,53057,9325,17.58%
2014-03,774,40,814,14975,976,15951,14417,1137,15554,10414,849,11263,6432,379,6811,1856,79,1935,566,15,581,49434,3475,52909,0,0,0,49434,3475,52909,9327,17.63%
2014-04,775,39,814,14980,982,15962,14434,1151,15585,10385,839,11224,6422,386,6808,1867,80,1947,571,15,586,49434,3492,52926,93,1,94,49527,3493,53020,9341,17.65%
2014-05,798,35,833,15090,987,16077,14449,1172,15621,10374,826,11200,6419,390,6809,1867,81,1948,574,15,589,49571,3506,53077,94,1,95,49665,3507,53172,9346,17.61%
2014-06,804,34,838,15051,983,16034,14533,1152,15685,10320,807,11127,6410,404,6814,1863,81,1944,562,14,576,49543,3475,53018,112,1,113,49655,3476,53131,9334,17.61%
2014-08,783,29,812,15066,1014,16080,14530,1166,15696,10278,810,11088,6421,421,6842,1909,81,1990,562,13,575,49549,3534,53083,113,1,114,49662,3535,53197,9407,17.72%
2014-09,785,30,815,14992,1000,15992,14527,1166,15693,10221,799,11020,6444,427,6871,1910,82,1992,563,13,576,49442,3517,52959,114,1,115,49556,3518,53074,9439,17.82%
2014-10,794,29,823,15037,1008,16045,14577,1179,15756,10246,803,11049,6465,443,6908,1925,81,2006,563,13,576,49607,3556,53163,115,1,116,49722,3557,53279,9490,17.85%
2014-11,780,28,808,14919,997,15916,14556,1180,15736,10228,793,11021,6465,430,6895,1931,80,2011,569,12,581,49448,3520,52968,117,1,118,49565,3521,53086,9487,17.91%
2014-12,750,27,777,14941,1008,15949,14650,1191,15841,10186,787,10973,6526,425,6951,1973,86,2059,572,12,584,49598,3536,53134,118,1,119,49716,3537,53253,9594,18.06%
2015-01,745,28,773,14934,1012,15946,14699,1196,15895,10195,785,10980,6532,425,6957,1968,84,2052,572,13,585,49645,3543,53188,119,1,120,49764,3544,53308,9594,18.04%
2015-02,750,33,783,14921,1012,15933,14723,1191,15914,10177,781,10958,6551,428,6979,1972,82,2054,576,13,589,49670,3540,53210,121,1,122,49791,3541,53332,9622,18.08%
2015-03,741,32,773,14990,1019,16009,14800,1213,16013,10201,791,10992,6575,427,7002,1984,84,2068,565,14,579,49856,3580,53436,121,1,122,49977,3581,53558,9649,18.06%
2015-04,733,30,763,14929,1014,15943,14797,1205,16002,10197,792,10989,6616,413,7029,1995,84,2079,569,15,584,49836,3553,53389,121,1,122,49957,3554,53511,9692,18.15%
2015-05,721,30,751,14959,1027,15986,14892,1201,16093,10229,802,11031,6672,420,7092,2023,83,2106,564,14,578,50060,3577,53637,122,1,123,50182,3578,53760,9776,18.23%
2015-06,728,29,757,14940,1042,15982,14912,1210,16122,10188,811,10999,6752,428,7180,2015,83,2098,570,13,583,50105,3616,53721,148,1,149,50253,3617,53870,9861,18.36%
2015-07,713,29,742,14874,1021,15895,14884,1213,16097,10155,796,10951,6759,426,7185,2022,84,2106,565,15,580,49972,3584,53556,149,1,150,50121,3585,53706,9871,18.43%
2015-08,716,30,746,14778,1017,15795,14834,1230,16064,10138,799,10937,6728,423,7151,2031,86,2117,561,15,576,49786,3600,53386,150,1,151,49936,3601,53537,9844,18.44%
2015-09,705,28,733,14754,1019,15773,14821,1248,16069,10099,810,10909,6697,434,7131,2037,93,2130,556,15,571,49669,3647,53316,150,1,151,49819,3648,53467,9832,18.44%
2015-10,695,27,722,14768,1005,15773,14852,1260,16112,10084,791,10875,6688,433,7121,2051,93,2144,555,15,570,49693,3624,53317,153,1,154,49846,3625,53471,9835,18.45%
2015-11,669,25,694,14697,986,15683,14787,1246,16033,10041,805,10846,6640,430,7070,2078,97,2175,549,15,564,49461,3604,53065,154,1,155,49615,3605,53220,9809,18.48%
2015-12,658,25,683,14575,964,15539,14776,1234,16010,10014,819,10833,6681,430,7111,2105,97,2202,552,16,568,49361,3585,52946,155,1,156,49516,3586,53102,9881,18.66%
2016-01,657,25,682,14483,968,15451,14721,1234,15955,10018,831,10849,6678,427,7105,2114,92,2206,553,15,568,49224,3592,52816,155,1,156,49379,3593,52972,9879,18.70%
2016-02,669,25,694,14484,987,15471,14787,1258,16045,10047,836,10883,6685,429,7114,2144,91,2235,559,15,574,49375,3641,53016,155,1,156,49530,3642,53172,9923,18.72%
2016-03,705,23,728,14686,1014,15700,14931,1302,16233,10140,863,11003,6726,439,7165,2161,94,2255,557,14,571,49906,3749,53655,156,1,157,50062,3750,53812,9991,18.62%
2016-04,715,23,738,14637,1027,15664,14893,1295,16188,10145,870,11015,6696,443,7139,2170,95,2265,553,14,567,49809,3767,53576,158,1,159,49967,3768,53735,9971,18.61%
2016-05,729,21,750,14632,1022,15654,14916,1296,16212,10141,866,11007,6695,438,7133,2182,95,2277,555,14,569,49850,3752,53602,159,1,160,50009,3753,53762,9979,18.62%
2016-06,750,24,774,14703,1027,15730,15003,1309,16312,10140,860,11000,6735,440,7175,2193,99,2292,555,14,569,50079,3773,53852,173,1,174,50252,3774,54026,10036,18.64%
2016-07,740,25,765,14663,1000,15663,15024,1294,16318,10130,860,10990,6769,444,7213,2189,101,2290,562,14,576,50077,3738,53815,175,1,176,50252,3739,53991,10079,18.73%
2016-08,748,28,776,14626,1012,15638,15094,1277,16371,10177,871,11048,6756,445,7201,2203,100,2303,561,16,577,50165,3749,53914,176,1,177,50341,3750,54091,10081,18.70%
2016-09,743,25,768,14620,997,15617,15138,1293,16431,10222,876,11098,6767,437,7204,2233,103,2336,568,17,585,50291,3748,54039,178,1,179,50469,3749,54218,10125,18.74%
2016-10,758,25,783,14624,1015,15639,15254,1331,16585,10257,875,11132,6775,443,7218,2257,105,2362,573,17,590,50498,3811,54309,179,1,180,50677,3812,54489,10170,18.73%
2016-11,756,28,784,14655,1013,15668,15197,1349,16546,10263,873,11136,6783,441,7224,2267,101,2368,579,18,597,50500,3823,54323,181,1,182,50681,3824,54505,10189,18.76%
2016-12,730,29,759,14603,996,15599,15165,1329,16494,10232,865,11097,6763,434,7197,2279,102,2381,587,19,606,50359,3774,54133,183,1,184,50542,3775,54317,10184,18.81%
2017-01,735,31,766,14547,990,15537,15162,1327,16489,10255,879,11134,6757,436,7193,2280,103,2383,590,18,608,50326,3784,54110,184,1,185,50510,3785,54295,10184,18.82%
2017-02,741,31,772,14467,990,15457,15143,1326,16469,10274,877,11151,6754,425,7179,2281,100,2381,591,19,610,50251,3768,54019,187,0,187,50438,3768,54206,10170,18.83%
2017-03,763,29,792,14523,1002,15525,15277,1328,16605,10314,897,11211,6780,440,7220,2297,97,2394,599,19,618,50553,3812,54365,187,1,188,50740,3813,54553,10232,18.82%
2017-04,772,28,800,14511,996,15507,15234,1340,16574,10312,883,11195,6782,447,7229,2297,97,2394,605,19,624,50513,3810,54323,187,0,187,50700,3810,54510,10247,18.86%
2017-05,773,25,798,14468,1008,15476,15293,1340,16633,10302,888,11190,6817,459,7276,2308,102,2410,601,19,620,50562,3841,54403,187,0,187,50749,3841,54590,10306,18.94%
2017-06,791,24,815,14507,1028,15535,15298,1333,16631,10392,886,11278,6863,449,7312,2327,102,2429,616,20,636,50794,3842,54636,211,0,211,51005,3842,54847,10377,18.99%
2017-07,780,24,804,14383,1025,15408,15268,1332,16600,10402,892,11294,6853,449,7302,2352,101,2453,621,20,641,50659,3843,54502,213,0,213,50872,3843,54715,10396,19.07%
2017-08,767,26,793,14298,1018,15316,15245,1342,16587,10382,877,11259,6855,455,7310,2348,97,2445,623,20,643,50518,3835,54353,216,0,216,50734,3835,54569,10398,19.13%
2017-09,757,25,782,14248,1014,15262,15232,1337,16569,10345,879,11224,6859,457,7316,2357,99,2456,624,20,644,50422,3831,54253,217,0,217,50639,3831,54470,10416,19.20%
2017-10,767,27,794,14173,1021,15194,15213,1347,16560,10291,872,11163,6889,445,7334,2359,104,2463,637,18,655,50329,3834,54163,217,0,217,50546,3834,54380,10452,19.30%
2017-11,767,29,796,14147,1008,15155,15287,1341,16628,10317,870,11187,6926,449,7375,2381,103,2484,645,19,664,50470,3819,54289,218,0,218,50688,3819,54507,10523,19.38%
