report,violent_sex,violent_sex_m,violent_sex_f,violent,violent_m,violent_f,violent_p,sex_crime,sex_crime_m,sex_crime_f,sex_crime_p,property,property_m,property_f,property_p,drug,drug_m,drug_f,drug_p,habit_dui,habit_dui_m,habit_dui_f,habit_dui_p,other_category,other_category_m,other_category_f,other_category_p,total_reported_by_category,total_reported_by_category_m,total_reported_by_category_f,primary_offense_category_page_no
2017-06,,,,28181,26492,1689,51.46%,8435,8306,129,15.40%,9219,8202,1017,16.83%,6195,5394,801,11.31%,108,96,12,0.20%,2625,2432,193,4.79%,54763,50922,3841,57
2017-07,,,,28131,26430,1701,51.49%,8453,8322,131,15.47%,9127,8128,999,16.70%,6195,5380,815,11.34%,110,100,10,0.20%,2621,2434,187,4.80%,54637,50794,3843,57
2017-08,,,,28148,26438,1710,51.66%,8442,8312,130,15.49%,9026,8038,988,16.56%,6153,5341,812,11.29%,105,95,10,0.19%,2618,2433,185,4.80%,54492,50657,3835,57
2017-09,,,,28135,26419,1716,51.73%,8426,8294,132,15.49%,9009,8024,985,16.56%,6117,5308,809,11.25%,105,95,10,0.19%,2599,2420,179,4.78%,54391,50560,3831,57
2017-10,,,,28138,26431,1707,51.84%,8445,8316,129,15.56%,8910,7933,977,16.41%,6085,5265,820,11.21%,112,102,10,0.21%,2593,2404,189,4.78%,54283,50451,3832,57
2017-11,,,,28186,26490,1696,51.81%,8479,8352,127,15.58%,8885,7916,969,16.33%,6126,5293,833,11.26%,105,95,10,0.19%,2624,2441,183,4.82%,54405,50587,3818,57
2017-12,,,,28187,26489,1698,51.77%,8495,8371,124,15.60%,8909,7935,974,16.36%,6093,5267,826,11.19%,109,100,9,0.20%,2656,2479,177,4.88%,54449,50641,3808,57
2018-01,,,,28050,26352,1698,51.88%,8489,8360,129,15.70%,8729,7771,958,16.15%,6034,5230,804,11.16%,100,91,9,0.18%,2662,2474,188,4.92%,54064,50278,3786,57
2018-02,,,,28051,26359,1692,51.78%,8510,8384,126,15.71%,8722,7751,971,16.10%,6116,5282,834,11.29%,103,93,10,0.19%,2669,2481,188,4.93%,54171,50350,3821,57
2018-03,,,,28324,26619,1705,51.72%,8570,8440,130,15.65%,8839,7826,1013,16.14%,6209,5356,853,11.34%,110,98,12,0.20%,2714,2517,197,4.96%,54766,50856,3910,57
2018-04,,,,28310,26594,1716,51.73%,8579,8451,128,15.68%,8827,7817,1010,16.13%,6182,5332,850,11.30%,109,96,13,0.20%,2718,2515,203,4.97%,54725,50805,3920,57
2018-05,,,,28355,26640,1715,51.61%,8602,8469,133,15.66%,8852,7854,998,16.11%,6259,5379,880,11.39%,102,89,13,0.19%,2768,2560,208,5.04%,54938,50991,3947,57
2018-06,,,,28356,26639,1717,51.63%,8635,8500,135,15.72%,8804,7819,985,16.03%,6231,5350,881,11.34%,111,98,13,0.20%,2788,2579,209,5.08%,54925,50985,3940,57
2018-07,,,,28260,26531,1729,51.60%,8642,8505,137,15.78%,8780,7820,960,16.03%,6193,5317,876,11.31%,113,99,14,0.21%,2780,2568,212,5.08%,54768,50840,3928,57
2018-08,,,,28217,26490,1727,51.60%,8649,8511,138,15.82%,8734,7777,957,15.97%,6192,5308,884,11.32%,122,107,15,0.22%,2765,2555,210,5.06%,54679,50748,3931,58
2018-09,,,,28213,26486,1727,51.60%,8683,8544,139,15.88%,8704,7761,943,15.92%,6199,5309,890,11.34%,117,104,13,0.21%,2763,2555,208,5.05%,54679,50759,3920,57
2018-10,,,,28324,26588,1736,51.72%,8693,8556,137,15.87%,8666,7721,945,15.82%,6186,5311,875,11.30%,115,101,14,0.21%,2782,2572,210,5.08%,54766,50849,3917,57
2018-11,,,,28344,26604,1740,51.73%,8722,8587,135,15.92%,8640,7693,947,15.77%,6185,5305,880,11.29%,116,103,13,0.21%,2782,2564,218,5.08%,54789,50856,3933,57
2018-12,,,,28347,26599,1748,51.75%,8753,8620,133,15.98%,8617,7680,937,15.73%,6171,5298,873,11.26%,112,100,12,0.20%,2781,2551,230,5.08%,54781,50848,3933,57
2019-01,,,,28262,26524,1738,51.75%,8752,8615,137,16.02%,8547,7624,923,15.65%,6156,5278,878,11.27%,111,99,12,0.20%,2788,2564,224,5.10%,54616,50704,3912,57
2019-02,,,,28340,26597,1743,51.76%,8762,8621,141,16.00%,8540,7606,934,15.60%,6179,5297,882,11.29%,108,95,13,0.20%,2821,2595,226,5.15%,54750,50811,3939,57
2019-03,,,,28463,26705,1758,51.83%,8787,8649,138,16.00%,8488,7570,918,15.46%,6214,5313,901,11.32%,115,101,14,0.21%,2850,2630,220,5.19%,54917,50968,3949,57
2019-04,,,,28525,26762,1763,51.90%,8782,8641,141,15.98%,8440,7524,916,15.36%,6223,5337,886,11.32%,112,99,13,0.20%,2877,2656,221,5.23%,54959,51019,3940,57
2019-05,,,,28522,26743,1779,51.84%,8830,8684,146,16.05%,8401,7491,910,15.27%,6241,5344,897,11.34%,112,98,14,0.20%,2914,2677,237,5.30%,55020,51037,3983,58
2019-06,,,,28528,26743,1785,51.91%,8814,8670,144,16.04%,8355,7453,902,15.20%,6203,5305,898,11.29%,110,96,14,0.20%,2942,2708,234,5.35%,54952,50975,3977,58
2019-07,,,,28586,26808,1778,51.84%,8841,8698,143,16.03%,8370,7462,908,15.18%,6234,5325,909,11.31%,115,100,15,0.21%,2996,2761,235,5.43%,55142,51154,3988,58
2019-08,,,,28524,26726,1798,51.86%,8858,8717,141,16.11%,8273,7381,892,15.04%,6228,5300,928,11.32%,113,97,16,0.21%,3004,2752,252,5.46%,55000,50973,4027,58
2019-09,,,,28708,26901,1807,51.91%,8918,8777,141,16.13%,8339,7454,885,15.08%,6196,5269,927,11.20%,113,97,16,0.20%,3029,2781,248,5.48%,55303,51279,4024,58
2019-10,,,,28845,27023,1822,51.94%,8930,8790,140,16.08%,8331,7444,887,15.00%,6275,5317,958,11.30%,113,97,16,0.20%,3046,2813,233,5.48%,55540,51484,4056,58
2019-11,,,,28962,27131,1831,51.96%,8941,8803,138,16.04%,8354,7483,871,14.99%,6295,5320,975,11.29%,114,98,16,0.20%,3074,2844,230,5.51%,55740,51679,4061,58
2019-12,,,,28889,27062,1827,52.09%,8935,8798,137,16.11%,8275,7410,865,14.92%,6209,5244,965,11.20%,113,97,16,0.20%,3038,2811,227,5.48%,55459,51422,4037,58
2020-01,,,,28805,26981,1824,52.26%,8914,8775,139,16.17%,8166,7320,846,14.81%,6103,5162,941,11.07%,113,96,17,0.21%,3020,2797,223,5.48%,55121,51131,3990,58
2020-02,,,,28850,27038,1812,52.34%,8937,8798,139,16.21%,8123,7280,843,14.74%,6087,5156,931,11.04%,112,98,14,0.20%,3015,2797,218,5.47%,55124,51167,3957,58
2020-03,,,,28831,27029,1802,52.49%,8929,8791,138,16.26%,8003,7170,833,14.57%,6038,5127,911,10.99%,113,100,13,0.21%,3010,2790,220,5.48%,54924,51007,3917,58
2020-04,,,,28445,26688,1757,53.12%,8843,8708,135,16.51%,7604,6826,778,14.20%,5713,4868,845,10.67%,104,93,11,0.19%,2844,2643,201,5.31%,53553,49826,3727,58
2020-05,,,,28055,26334,1721,54.06%,8716,8585,131,16.80%,7052,6357,695,13.59%,5340,4585,755,10.29%,97,87,10,0.19%,2632,2454,178,5.07%,51892,48402,3490,58
2020-06,,,,27685,25987,1698,54.16%,8612,8485,127,16.85%,6905,6222,683,13.51%,5226,4488,738,10.22%,92,82,10,0.18%,2599,2409,190,5.08%,51119,47673,3446,58
2020-07,,,,27386,25698,1688,54.39%,8515,8389,126,16.91%,6755,6102,653,13.42%,5075,4346,729,10.08%,88,78,10,0.17%,2533,2350,183,5.03%,50352,46963,3389,58
2020-08,,,,27103,25438,1665,54.48%,8433,8306,127,16.95%,6596,5969,627,13.26%,5042,4318,724,10.13%,88,78,10,0.18%,2491,2315,176,5.01%,49753,46424,3329,58
2020-09,,,,26865,25213,1652,54.52%,8354,8230,124,16.95%,6507,5892,615,13.21%,4993,4281,712,10.13%,92,81,11,0.19%,2461,2284,177,4.99%,49272,45981,3291,58
2020-10,,,,26569,24928,1641,54.96%,8265,8140,125,17.10%,6260,5690,570,12.95%,4792,4114,678,9.91%,83,74,9,0.17%,2371,2202,169,4.90%,48340,45148,3192,58
2020-11,,,,26445,24815,1630,55.05%,8222,8099,123,17.11%,6189,5635,554,12.88%,4775,4089,686,9.94%,79,70,9,0.16%,2330,2166,164,4.85%,48040,44874,3166,58
2020-12,,,,26257,24650,1607,55.15%,8194,8073,121,17.21%,6097,5558,539,12.81%,4687,4018,669,9.84%,78,68,10,0.16%,2295,2129,166,4.82%,47608,44496,3112,58
2021-01,,,,25980,24396,1584,55.36%,8136,8019,117,17.34%,5922,5412,510,12.62%,4583,3935,648,9.76%,78,70,8,0.17%,2234,2077,157,4.76%,46933,43909,3024,58
2021-02,,,,25773,24217,1556,55.50%,8072,7957,115,17.38%,5806,5311,495,12.50%,4497,3861,636,9.68%,74,65,9,0.16%,2216,2063,153,4.77%,46438,43474,2964,58
2021-03,,,,25640,24103,1537,55.48%,8036,7918,118,17.39%,5752,5277,475,12.45%,4489,3843,646,9.71%,75,66,9,0.16%,2221,2061,160,4.81%,46213,43268,2945,58
2021-04,,,,25560,24034,1526,55.44%,7998,7885,113,17.35%,5730,5262,468,12.43%,4497,3851,646,9.75%,80,70,10,0.17%,2237,2059,178,4.85%,46102,43161,2941,58
2021-05,,,,25556,24031,1525,55.32%,8014,7900,114,17.35%,5738,5276,462,12.42%,4558,3917,641,9.87%,83,74,9,0.18%,2250,2079,171,4.87%,46199,43277,2922,58
2021-06,,,,25687,24158,1529,55.27%,8038,7922,116,17.29%,5801,5329,472,12.48%,4589,3940,649,9.87%,85,75,10,0.18%,2276,2106,170,4.90%,46476,43530,2946,58
2021-07,,,,25747,24201,1546,55.33%,8057,7939,118,17.31%,5801,5322,479,12.47%,4568,3911,657,9.82%,86,76,10,0.18%,2275,2105,170,4.89%,46534,43554,2980,58
2021-08,,,,25766,24214,1552,55.34%,8084,7966,118,17.36%,5760,5279,481,12.37%,4584,3930,654,9.85%,84,74,10,0.18%,2281,2115,166,4.90%,46559,43578,2981,58
2021-09,,,,25749,24201,1548,55.26%,8106,7986,120,17.40%,5748,5258,490,12.34%,4599,3949,650,9.87%,84,75,9,0.18%,2309,2140,169,4.96%,46595,43609,2986,58
2021-10,,,,25765,24206,1559,55.20%,8132,8011,121,17.42%,5748,5244,504,12.31%,4625,3969,656,9.91%,80,70,10,0.17%,2328,2154,174,4.99%,46678,43654,3024,58
2021-11,,,,25817,24261,1556,55.18%,8145,8021,124,17.41%,5778,5264,514,12.35%,4635,3979,656,9.91%,77,66,11,0.16%,2333,2164,169,4.99%,46785,43755,3030,58
2021-12,,,,25921,24370,1551,55.25%,8172,8045,127,17.42%,5739,5230,509,12.23%,4631,3971,660,9.87%,84,72,12,0.18%,2371,2199,172,5.05%,46918,43887,3031,58
2022-01,,,,25774,24235,1539,55.35%,8140,8010,130,17.48%,5642,5137,505,12.12%,4580,3927,653,9.84%,88,76,12,0.19%,2341,2167,174,5.03%,46565,43552,3013,58
2022-02,,,,25841,24291,1550,55.41%,8140,8009,131,17.45%,5600,5100,500,12.01%,4594,3935,659,9.85%,86,75,11,0.18%,2377,2201,176,5.10%,46638,43611,3027,58
2022-03,,,,25968,24395,1573,55.34%,8182,8049,133,17.44%,5633,5110,523,12.00%,4636,3974,662,9.88%,96,83,13,0.20%,2410,2208,202,5.14%,46925,43819,3106,58
2022-04,,,,26058,24466,1592,55.30%,8256,8121,135,17.52%,5643,5112,531,11.97%,4634,3971,663,9.83%,96,83,13,0.20%,2437,2240,197,5.17%,47124,43993,3131,58
2022-05,,,,26264,24650,1614,55.23%,8312,8178,134,17.48%,5686,5122,564,11.96%,4652,3983,669,9.78%,93,80,13,0.20%,2543,2340,203,5.35%,47550,44353,3197,58
2022-06,,,,26346,24721,1625,55.22%,8357,8225,132,17.52%,5668,5089,579,11.88%,4661,3970,691,9.77%,96,85,11,0.20%,2584,2364,220,5.42%,47712,44454,3258,58
2022-07,,,,26354,24732,1622,55.26%,8371,8237,134,17.55%,5611,5040,571,11.77%,4656,3986,670,9.76%,97,87,10,0.20%,2601,2378,223,5.45%,47690,44460,3230,58
2022-08,,,,26641,25011,1630,55.78%,8386,8248,138,17.56%,5760,5170,590,12.06%,4313,3649,664,9.03%,88,79,9,0.18%,2574,2345,229,5.39%,47762,44502,3260,58
2022-09,,,,26460,24818,1642,55.25%,8451,8314,137,17.65%,5576,5007,569,11.64%,4650,3967,683,9.71%,94,84,10,0.20%,2661,2433,228,5.56%,47892,44623,3269,58
2022-10,,,,26568,24908,1660,55.23%,8498,8361,137,17.66%,5582,5001,581,11.60%,4633,3951,682,9.63%,99,90,9,0.21%,2727,2491,236,5.67%,48107,44802,3305,58
2022-11,,,,26659,24989,1670,55.20%,8553,8416,137,17.71%,5596,5016,580,11.59%,4639,3946,693,9.61%,98,89,9,0.20%,2752,2514,238,5.70%,48297,44970,3327,58
2022-12,,,,26718,25039,1679,55.17%,8592,8454,138,17.74%,5600,5025,575,11.56%,4632,3932,700,9.57%,94,85,9,0.19%,2789,2544,245,5.76%,48425,45079,3346,58
2023-01,,,,26706,25029,1677,55.11%,8577,8440,137,17.70%,5597,5030,567,11.55%,4684,3968,716,9.67%,88,79,9,0.18%,2810,2574,236,5.80%,48462,45120,3342,58
2023-02,,,,26828,25136,1692,55.12%,8639,8504,135,17.75%,5593,5019,574,11.49%,4692,3975,717,9.64%,87,79,8,0.18%,2837,2599,238,5.83%,48676,45312,3364,58
2023-03,,,,27046,25325,1721,55.02%,8700,8566,134,17.70%,5633,5050,583,11.46%,4761,4015,746,9.69%,84,76,8,0.17%,2932,2689,243,5.96%,49156,45721,3435,58
2023-04,,,,27151,25415,1736,55.16%,8721,8585,136,17.72%,5593,4998,595,11.36%,4734,3973,761,9.62%,84,77,7,0.17%,2942,2698,244,5.98%,49225,45746,3479,58
2023-05,,,,27322,25560,1762,55.55%,8769,8629,140,17.83%,5466,4871,595,11.11%,4677,3926,751,9.51%,83,73,10,0.17%,2866,2626,240,5.83%,49183,45685,3498,58
2023-06,,,,27452,25673,1779,55.57%,8838,8695,143,17.89%,5475,4889,586,11.08%,4661,3905,756,9.44%,78,69,9,0.16%,2893,2651,242,5.86%,49397,45882,3515,58
2023-07,,,,27372,25602,1770,55.51%,8839,8695,144,17.92%,5455,4876,579,11.06%,4671,3906,765,9.47%,77,68,9,0.16%,2900,2653,247,5.88%,49314,45800,3514,58
2023-08,,,,27447,25670,1777,55.39%,8873,8730,143,17.91%,5478,4876,602,11.06%,4687,3918,769,9.46%,77,69,8,0.16%,2986,2733,253,6.03%,49548,45996,3552,58
2023-09,,,,27565,25785,1780,55.40%,8926,8781,145,17.94%,5462,4863,599,10.98%,4705,3907,798,9.46%,82,73,9,0.16%,3020,2757,263,6.07%,49760,46166,3594,58
2023-10,,,,27737,25958,1779,55.27%,8984,8840,144,17.90%,5538,4932,606,11.04%,4768,3970,798,9.50%,81,72,9,0.16%,3075,2812,263,6.13%,50183,46584,3599,58
2023-11,,,,27883,26095,1788,55.23%,9030,8886,144,17.89%,5616,4977,639,11.12%,4788,3986,802,9.48%,79,71,8,0.16%,3088,2819,269,6.12%,50484,46834,3650,58
2023-12,,,,27975,26164,1811,55.33%,9089,8947,142,17.98%,5572,4935,637,11.02%,4795,3981,814,9.48%,78,71,7,0.15%,3052,2788,264,6.04%,50561,46886,3675,58
2024-01,,,,28023,26205,1818,55.41%,9102,8961,141,18.00%,5538,4891,647,10.95%,4803,3991,812,9.50%,75,68,7,0.15%,3030,2776,254,5.99%,50571,46892,3679,58
2024-02,,,,28107,26270,1837,55.48%,9117,8978,139,18.00%,5520,4875,645,10.90%,4797,3983,814,9.47%,76,69,7,0.15%,3043,2786,257,6.01%,50660,46961,3699,58
2024-03,,,,28280,26418,1862,55.57%,9150,9005,145,17.98%,5502,4867,635,10.81%,4802,3980,822,9.44%,76,67,9,0.15%,3080,2819,261,6.05%,50890,47156,3734,58
2024-04,,,,28454,26583,1871,55.63%,9174,9028,146,17.94%,5534,4891,643,10.82%,4815,3986,829,9.41%,77,67,10,0.15%,3094,2825,269,6.05%,51148,47380,3768,58
2024-05,,,,28508,26633,1875,55.55%,9222,9073,149,17.97%,5538,4895,643,10.79%,4858,4027,831,9.47%,75,64,11,0.15%,3123,2840,283,6.08%,51324,47532,3792,58
2024-06,,,,28591,26726,1865,55.57%,9221,9075,146,17.92%,5537,4900,637,10.76%,4865,4049,816,9.46%,78,66,12,0.15%,3161,2875,286,6.14%,51453,47691,3762,58
2024-07,,,,28609,26753,1856,55.66%,9206,9061,145,17.91%,5499,4862,637,10.70%,4847,4030,817,9.43%,82,71,11,0.16%,3160,2886,274,6.15%,51403,47663,3740,58
2024-08,,,,28689,26818,1871,55.80%,9202,9058,144,17.90%,5427,4811,616,10.56%,4871,4043,828,9.47%,78,67,11,0.15%,3148,2872,276,6.12%,51415,47669,3746,58
2024-09,,,,28776,26896,1880,55.77%,9233,9087,146,17.89%,5416,4784,632,10.50%,4915,4077,838,9.53%,78,66,12,0.15%,3180,2907,273,6.16%,51598,47817,3781,58
2024-10,,,,28849,26939,1910,55.86%,9243,9095,148,17.90%,5362,4738,624,10.38%,4927,4076,851,9.54%,83,71,12,0.16%,3180,2904,276,6.16%,51644,47823,3821,58
2024-11,,,,28853,26946,1907,55.93%,9235,9088,147,17.90%,5304,4686,618,10.28%,4914,4067,847,9.52%,87,73,14,0.17%,3198,2930,268,6.20%,51591,47790,3801,58
2024-12,,,,28952,27022,1930,56.03%,9239,9095,144,17.88%,5284,4671,613,10.23%,4926,4087,839,9.53%,85,72,13,0.16%,3188,2920,268,6.17%,51674,47867,3807,58
2025-01,,,,28965,27016,1949,56.07%,9233,9090,143,17.87%,5245,4638,607,10.15%,4907,4060,847,9.50%,87,73,14,0.17%,3218,2945,273,6.23%,51655,47822,3833,58
2025-02,,,,29058,27095,1963,56.16%,9235,9092,143,17.85%,5239,4636,603,10.13%,4888,4043,845,9.45%,84,70,14,0.16%,3235,2970,265,6.25%,51739,47906,3833,58
2025-03,,,,29191,27215,1976,56.24%,9234,9094,140,17.79%,5284,4664,620,10.18%,4844,4010,834,9.33%,87,72,15,0.17%,3261,2998,263,6.28%,51901,48053,3848,58
2025-04,,,,29331,27330,2001,56.31%,9257,9115,142,17.77%,5270,4645,625,10.12%,4846,4012,834,9.30%,85,71,14,0.16%,3296,3033,263,6.33%,52085,48206,3879,58
2025-05,,,,29539,27514,2025,56.18%,9318,9175,143,17.72%,5335,4695,640,10.15%,4908,4059,849,9.33%,87,73,14,0.17%,3393,3129,264,6.45%,52580,48645,3935,58
2025-06,,,,29647,27614,2033,56.28%,9338,9193,145,17.73%,5345,4694,651,10.15%,4893,4036,857,9.29%,88,73,15,0.17%,3369,3095,274,6.40%,52680,48705,3975,58
2025-07,,,,29663,27631,2032,56.22%,9370,9224,146,17.76%,5373,4706,667,10.18%,4880,4010,870,9.25%,92,77,15,0.17%,3387,3111,276,6.42%,52765,48759,4006,62
2025-08,,,,29664,27630,2034,56.28%,9369,9227,142,17.78%,5349,4680,669,10.15%,4860,4013,847,9.22%,90,74,16,0.17%,3375,3091,284,6.40%,52707,48715,3992,62
2025-09,,,,29787,27742,2045,56.13%,9413,9269,144,17.74%,5428,4742,686,10.23%,4905,4045,860,9.24%,86,72,14,0.16%,3445,3159,286,6.49%,53064,49029,4035,62
2025-10,,,,29872,27801,2071,56.14%,9462,9313,149,17.78%,5455,4772,683,10.25%,4845,4008,837,9.11%,90,76,14,0.17%,3486,3197,289,6.55%,53210,49167,4043,62
2025-11,,,,29885,27809,2076,56.15%,9490,9340,150,17.83%,5446,4765,681,10.23%,4837,3996,841,9.09%,90,76,14,0.17%,3474,3177,297,6.53%,53222,49163,4059,62
2025-12,,,,29947,27860,2087,56.18%,9483,9335,148,17.79%,5463,4773,690,10.25%,4851,4015,836,9.10%,87,74,13,0.16%,3475,3168,307,6.52%,53306,49225,4081,62
2026-01,,,,29838,27769,2069,56.20%,9463,9313,150,17.82%,5409,4719,690,10.19%,4827,3987,840,9.09%,86,75,11,0.16%,3466,3154,312,6.53%,53089,49017,4072,62
2026-02,,,,29906,27837,2069,56.27%,9492,9345,147,17.86%,5404,4717,687,10.17%,4799,3963,836,9.03%,86,76,10,0.16%,3464,3154,310,6.52%,53151,49092,4059,62
2026-03,,,,30058,27991,2067,56.30%,9561,9413,148,17.91%,5452,4775,677,10.21%,4789,3980,809,8.97%,90,78,12,0.17%,3443,3137,306,6.45%,53393,49374,4019,62
2026-04,,,,30138,28063,2075,56.39%,9598,9447,151,17.96%,5409,4738,671,10.12%,4771,3971,800,8.93%,92,79,13,0.17%,3434,3140,294,6.43%,53442,49438,4004,62
2026-05,,,,30174,28085,2089,56.53%,9621,9467,154,18.02%,5360,4703,657,10.04%,4746,3944,802,8.89%,96,82,14,0.18%,3381,3093,288,6.33%,53378,49374,4004,62
2026-06,,,,30170,28070,2100,56.43%,9663,9505,158,18.07%,5386,4725,661,10.07%,4723,3932,791,8.83%,91,79,12,0.17%,3433,3141,292,6.42%,53466,49452,4014,62
