report,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
2020-11,15266,1834,17100,27648,1272,28920,151,8,159,,,,1879,49,1928,23,1,24,,,,1,0,1,4,2,6,0,0,0,44972,3166,48138
2020-12,15119,1809,16928,27432,1245,28677,149,7,156,,,,1866,48,1914,25,1,26,,,,2,0,2,4,2,6,0,0,0,44597,3112,47709
2021-01,14916,1756,16672,27061,1212,28273,149,6,155,,,,1850,47,1897,24,1,25,,,,3,0,3,6,2,8,0,0,0,44009,3024,47033
2021-02,14768,1732,16500,26787,1176,27963,144,6,150,,,,1840,46,1886,23,2,25,,,,3,0,3,7,2,9,0,0,0,43572,2964,46536
2021-03,14711,1738,16449,26607,1153,27760,142,6,148,,,,1869,45,1914,25,2,27,,,,4,0,4,11,2,13,0,0,0,43369,2946,46315
2021-04,14708,1745,16453,26511,1142,27653,138,6,144,,,,1863,44,1907,24,2,26,,,,4,0,4,12,2,14,0,0,0,43260,2941,46201
2021-05,14833,1733,16566,26508,1134,27642,139,6,145,,,,1863,45,1908,23,2,25,,,,4,0,4,10,2,12,0,0,0,43380,2922,46302
2021-06,14968,1747,16715,26621,1143,27764,144,7,151,,,,1867,46,1913,22,2,24,,,,5,0,5,12,2,14,0,0,0,43639,2947,46586
2021-07,15022,1765,16787,26573,1160,27733,143,7,150,,,,1881,45,1926,21,2,23,,,,4,0,4,14,1,15,0,0,0,43658,2980,46638
2021-08,15058,1762,16820,26567,1161,27728,141,7,148,,,,1877,49,1926,20,2,22,,,,5,0,5,16,1,17,0,0,0,43684,2982,46666
2021-09,15097,1759,16856,26563,1170,27733,142,6,148,,,,1870,49,1919,19,2,21,,,,4,0,4,20,1,21,0,0,0,43715,2987,46702
2021-10,15178,1785,16963,26490,1181,27671,148,7,155,,,,1894,49,1943,20,2,22,,,,5,0,5,20,1,21,0,0,0,43755,3025,46780
2021-11,15282,1786,17068,26483,1189,27672,150,6,156,,,,1902,48,1950,20,2,22,,,,5,0,5,18,1,19,0,0,0,43860,3032,46892
2021-12,15396,1782,17178,26509,1191,27700,150,8,158,,,,1889,48,1937,20,2,22,,,,7,0,7,17,1,18,0,0,0,43988,3032,47020
2022-01,15283,1758,17041,26317,1197,27514,149,8,157,,,,1865,49,1914,20,1,21,,,,6,0,6,15,1,16,0,0,0,43655,3014,46669
2022-02,15284,1766,17050,26388,1206,27594,151,8,159,,,,1870,47,1917,20,1,21,,,,,,,2,0,2,0,0,0,43715,3028,46743
2022-03,15419,1831,17250,26469,1221,27690,154,10,164,,,,1876,47,1923,21,1,22,,,,,,,1,0,1,0,0,0,43940,3110,47050
2022-04,15504,1846,17350,26534,1229,27763,155,9,164,,,,1879,47,1926,20,1,21,,,,1,0,1,2,0,2,0,0,0,44095,3132,47227
2022-05,15630,1881,17511,26757,1259,28016,154,9,163,,,,1891,48,1939,21,1,22,,,,1,0,1,3,0,3,0,0,0,44457,3198,47655
2022-06,15665,1930,17595,26837,1271,28108,150,10,160,,,,1874,47,1921,22,1,23,,,,1,0,1,6,1,7,0,0,0,44555,3260,47815
2022-07,15654,1918,17572,26824,1253,28077,152,10,162,,,,1901,48,1949,24,1,25,,,,1,0,1,7,2,9,0,0,0,44563,3232,47795
2022-08,15701,1940,17641,26870,1265,28135,152,10,162,,,,1898,49,1947,23,0,23,,,,1,0,1,4,4,8,0,0,0,44649,3268,47917
2022-09,15682,1932,17614,26910,1276,28186,155,10,165,,,,1950,49,1999,22,0,22,,,,1,0,1,6,4,10,0,0,0,44726,3271,47997
2022-10,15781,1960,17741,26993,1287,28280,155,10,165,,,,1949,47,1996,21,0,21,,,,2,0,2,8,3,11,0,0,0,44909,3307,48216
2022-11,15841,1982,17823,27104,1288,28392,156,9,165,,,,1945,47,1992,22,0,22,,,,2,0,2,7,3,10,0,0,0,45077,3329,48406
2022-12,15903,1985,17888,27156,1300,28456,156,9,165,,,,1936,49,1985,23,1,24,,,,2,0,2,9,3,12,0,0,0,45185,3347,48532
2023-01,15930,1989,17919,27160,1293,28453,155,9,164,,,,1944,49,1993,23,1,24,,,,1,0,1,10,3,13,0,0,0,45223,3344,48567
2023-02,16004,2003,18007,27281,1302,28583,156,9,165,,,,1942,48,1990,24,1,25,1,0,1,1,0,1,10,3,13,0,0,0,45419,3366,48785
2023-03,16167,2060,18227,27539,1316,28855,156,9,165,,,,1934,48,1982,25,1,26,1,0,1,1,0,1,9,3,12,0,0,0,45832,3437,49269
2023-04,16197,2090,18287,27538,1325,28863,151,10,161,,,,1934,51,1985,24,1,25,1,0,1,2,0,2,9,4,13,0,0,0,45856,3481,49337
2023-05,16089,2092,18181,27528,1340,28868,154,10,164,,,,1987,53,2040,25,1,26,1,0,1,3,0,3,10,4,14,0,0,0,45797,3500,49297
2023-06,16145,2101,18246,27647,1347,28994,155,10,165,,,,2010,53,2063,26,1,27,1,0,1,2,0,2,10,5,15,0,0,0,45996,3517,49513
2023-07,16115,2108,18223,27597,1334,28931,156,10,166,,,,2008,56,2064,25,2,27,1,1,2,1,0,1,10,5,15,0,0,0,45913,3516,49429
2023-08,16146,2122,18268,27763,1360,29123,155,11,166,,,,2008,53,2061,26,2,28,1,1,2,1,0,1,11,5,16,0,0,0,46111,3554,49665
2023-09,16236,2161,18397,27849,1363,29212,153,11,164,,,,2010,54,2064,25,2,27,0,1,1,1,0,1,12,5,17,0,0,0,46286,3597,49883
2023-10,16381,2153,18534,28099,1377,29476,158,9,167,,,,2020,53,2073,25,2,27,1,1,2,1,1,2,12,5,17,0,0,0,46697,3601,50298
2023-11,16483,2178,18661,28247,1405,29652,161,9,170,,,,2032,53,2085,25,1,26,1,1,2,3,1,4,11,5,16,0,0,0,46963,3653,50616
2023-12,16463,2187,18650,28311,1422,29733,155,9,164,,,,2026,52,2078,26,1,27,1,1,2,1,1,2,14,4,18,0,0,0,46997,3677,50674
2024-01,16437,2178,18615,28339,1436,29775,156,10,166,,,,2037,51,2088,26,1,27,1,1,2,2,1,3,15,4,19,0,0,0,47013,3682,50695
2024-02,16385,2178,18563,28416,1454,29870,162,9,171,,,,2066,53,2119,28,1,29,2,1,3,2,1,3,17,4,21,0,0,0,47078,3701,50779
2024-03,16421,2192,18613,28563,1469,30032,163,9,172,,,,2069,59,2128,28,2,30,2,1,3,1,1,2,18,4,22,0,0,0,47265,3737,51002
2024-04,16436,2221,18657,28738,1474,30212,165,9,174,,,,2102,58,2160,30,2,32,2,1,3,1,1,2,22,4,26,0,0,0,47496,3770,51266
2024-05,16458,2225,18683,28836,1496,30332,164,8,172,,,,2135,59,2194,31,2,33,2,1,3,1,1,2,22,2,24,0,0,0,47649,3794,51443
2024-06,16413,2210,18623,29007,1484,30491,164,8,172,,,,2169,57,2226,30,2,32,2,1,3,1,1,2,19,2,21,0,0,0,47805,3765,51570
2024-07,16318,2188,18506,29036,1482,30518,165,8,173,,,,2205,57,2262,32,2,34,2,1,3,1,1,2,22,3,25,0,0,0,47781,3742,51523
2024-08,16272,2183,18455,29064,1495,30559,164,8,172,,,,2232,56,2288,31,2,33,2,1,3,1,1,2,21,3,24,0,0,0,47787,3749,51536
2024-09,16270,2204,18474,29184,1509,30693,166,8,174,,,,2253,55,2308,31,2,33,2,1,3,2,1,3,21,3,24,0,0,0,47929,3783,51712
2024-10,16261,2214,18475,29206,1538,30744,169,7,176,,,,2252,58,2310,30,1,31,2,1,3,1,1,2,20,5,25,0,0,0,47941,3825,51766
2024-11,16187,2196,18383,29204,1533,30737,169,9,178,,,,2286,58,2344,32,1,33,2,1,3,2,0,2,19,5,24,0,0,0,47901,3803,51704
2024-12,16171,2194,18365,29293,1544,30837,172,8,180,,,,2292,59,2351,33,0,33,2,1,3,3,0,3,19,5,24,0,0,0,47985,3811,51796
2025-01,16111,2203,18314,29297,1562,30859,172,8,180,,,,2307,57,2364,34,0,34,2,1,3,1,0,1,16,5,21,0,0,0,47940,3836,51776
2025-02,16096,2189,18285,29364,1574,30938,169,9,178,,,,2346,58,2404,33,1,34,2,1,3,1,0,1,18,5,23,0,0,0,48029,3837,51866
2025-03,16087,2177,18264,29493,1599,31092,170,9,179,,,,2367,59,2426,31,1,32,2,1,3,2,0,2,18,4,22,0,0,0,48170,3850,52020
2025-04,16076,2191,18267,29619,1618,31237,166,9,175,,,,2410,57,2467,32,1,33,2,1,3,3,0,3,21,5,26,0,0,0,48329,3882,52211
2025-05,16131,2219,18350,29959,1644,31603,164,10,174,,,,2451,57,2508,34,1,35,3,1,4,1,0,1,20,5,25,0,0,0,48763,3937,52700
2025-06,16122,2235,18357,30009,1665,31674,162,10,172,,,,2476,59,2535,35,2,37,3,1,4,2,0,2,18,5,23,0,0,0,48827,3977,52804
2025-07,16100,2257,18357,30062,1678,31740,163,10,173,,,,2498,55,2553,34,2,36,3,1,4,2,0,2,21,5,26,0,0,0,48883,4008,52891
2025-08,16075,2236,18311,30039,1688,31727,161,10,171,,,,2500,53,2553,34,2,36,3,1,4,2,0,2,19,4,23,0,0,0,48833,3994,52827
2025-09,16173,2265,18438,30236,1704,31940,161,10,171,,,,2520,53,2573,35,3,38,3,0,3,4,0,4,18,4,22,0,0,0,49150,4039,53189
2025-10,16201,2254,18455,30342,1717,32059,162,10,172,,,,2533,58,2591,36,3,39,3,0,3,4,0,4,17,4,21,0,0,0,49298,4046,53344
2025-11,16145,2253,18398,30358,1729,32087,156,11,167,,,,2559,60,2619,36,4,40,2,0,2,1,0,1,20,4,24,0,0,0,49277,4061,53338
2025-12,16136,2268,18404,30405,1739,32144,156,12,168,,,,2586,56,2642,37,4,41,2,0,2,1,0,1,24,4,28,0,0,0,49347,4083,53430
2026-01,15982,2279,18261,30301,1721,32022,155,12,167,,,,2633,54,2687,37,4,41,2,0,2,1,0,1,24,5,29,0,0,0,49135,4075,53210
2026-02,15998,2248,18246,30356,1739,32095,159,12,171,,,,2640,55,2695,36,4,40,2,0,2,2,0,2,25,4,29,0,0,0,49218,4062,53280
2026-03,16041,2212,18253,30543,1732,32275,163,13,176,,,,2679,57,2736,38,4,42,2,0,2,2,0,2,25,3,28,0,0,0,49493,4021,53514
2026-04,16011,2202,18213,30620,1727,32347,167,12,179,,,,2698,59,2757,36,4,40,3,0,3,2,0,2,26,4,30,0,0,0,49563,4008,53571
2026-05,15971,2199,18170,30569,1730,32299,167,11,178,,,,2718,58,2776,36,4,40,3,0,3,4,0,4,26,4,30,0,0,0,49494,4006,53500
2026-06,15931,2197,18128,30643,1742,32385,175,10,185,,,,2754,59,2813,37,4,41,3,0,3,5,0,5,26,4,30,0,0,0,49574,4016,53590
